"","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"90",90,"2017-05-15",9433.55,9449.05,9423.8,9445.6,140786494,9436.65,9436.85,9372.6,9408.55,151328654,0.779730201033946,66.6725583012505,52.8478097474383,0.0827967683233536,-0.000409118567734623,9401.80720751368,64.25,100.51933878039,4230428807,0.130652480050071
"91",91,"2017-05-16",9461,9517.1,9456.6,9510.25,170050127,9433.55,9449.05,9423.8,9445.6,140786494,0.816383498824291,69.1902437792307,51.54980812299,0.0840666442178693,0.00393017427890996,9424.51720562695,40.5,118.257030790974,4371215301,0.0235648032088189
"92",92,"2017-05-17",9517.6,9532.2,9486.15,9516.55,207352209,9461,9517.1,9456.6,9510.25,170050127,0.890622682301467,73.02027270098,61.7220721348597,0.086327585659345,0.00682113971877918,9461.78861905396,71.5,154.101456610764,4541265428,0.0277215702144895
"93",93,"2017-05-18",9453.2,9489.05,9419.5,9423.75,206405694,9517.6,9532.2,9486.15,9516.55,207352209,0.943561054938113,73.3677120264834,62.7400509073822,0.0844294589551245,0.000662223834826392,9490.42357782562,46.0500000000011,158.331173162733,4748617637,0.0596872616323471
"94",94,"2017-05-19",9469.9,9505.35,9390.75,9435.4,238989568,9453.2,9489.05,9419.5,9423.75,206405694,0.895195816426564,60.9222871654795,54.7582884263857,0.0897614481530796,-0.00979928962059518,9479.77843195126,97.0499999999993,93.6844038044891,4542211943,0.413615560640734
"95",95,"2017-05-22",9480.25,9498.6,9427.95,9438,192520409,9469.9,9505.35,9390.75,9435.4,238989568,0.856946067126096,61.7983780984918,47.3586572675898,0.0890887720363917,0.00123547471459595,9474.65140266507,114.6,83.1452860774425,4781201511,0.369183829138066
"96",96,"2017-05-23",9445.05,9448,9370.4,9379.4,225696040,9480.25,9498.6,9427.95,9438,192520409,0.819366062979054,62.0031168861954,45.773013890913,0.0892391428451509,0.000275520045825317,9470.78119619531,70.6499999999996,83.5086987375753,4973721920,0.362098789160101
"97",97,"2017-05-24",9410.9,9431.75,9341.9,9370.15,198943824,9445.05,9448,9370.4,9379.4,225696040,0.730845097981359,54.8658870536709,41.4168952105581,0.0801425533095619,-0.00622829821682735,9447.73482008926,77.6000000000004,21.042330011441,4748025880,0.587353449932732
"98",98,"2017-05-25",9384.05,9522.7,9379.3,9501.25,300236120,9410.9,9431.75,9341.9,9370.15,198943824,0.645323631694117,53.8128802010516,37.4532568868243,0.0801627076472276,-0.000986690427286163,9426.99022715581,89.8500000000004,-4.29028113889435,4549082056,0.62290985969633
"99",99,"2017-05-26",9507.75,9604.45,9496.1,9580.9,221697874,9384.05,9522.7,9379.3,9501.25,300236120,0.682203146778071,64.2773662922458,44.3543291463942,0.111448287622803,0.0138942642380311,9454.56317809604,152.550000000001,88.9153985665388,4849318176,0.13229322504809
