"","X.1","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"57",61,61,"2017-03-30",9142.6,9181.1,1,9158.95,317725897,9128.7,9152.35,1,9145.05,198874216,0.982890468155428,65.8487673443173,99.6461272106392,0.0891943391833824,0.00402666356098003,9128.06537636473,9151.35,80.9280105054734,3854393991,0.00749476289196916
"58",62,62,"2017-03-31",9158.9,9191.15,1,9170.7,214229991,9142.6,9181.1,1,9158.95,317725897,0.981790168513008,66.7466662970112,99.643976550612,0.0895812077752878,0.00151879399824928,9144.47950619856,9180.1,90.543261611854,4172119888,0.00598604161465735
"59",63,63,"2017-04-03",9220.6,9244.6,1,9243,156047484,9158.9,9191.15,1,9170.7,214229991,0.979865765261456,67.5239717973735,99.7208565255119,0.0883657362965197,0.00128207593810892,9159.83013836174,9190.15,93.4954484256863,4386349879,0.00471068370038311
"60",64,64,"2017-04-05",9264.4,9273.8,1,9256.9,199844778,9220.6,9244.6,1,9243,156047484,1.03030920229816,71.8797073122309,99.7452462721378,0.0964162184893406,0.00785288904983794,9194.36634209538,9243.6,141.700908977711,4542397363,0.000173092734432512
"61",65,65,"2017-04-06",9245.8,9267.6,1,9256.65,198633200,9264.4,9273.8,1,9256.9,199844778,1.06982617733811,72.6394807609837,99.7596935630195,0.062130430797387,0.00150271110824285,9223.68838452549,9272.8,148.74741670447,4742242141,0.0018225347252178
"62",66,66,"2017-04-07",9223.7,9250.45,1,9196.9,210169766,9245.8,9267.6,1,9256.65,198633200,1.08800569708958,72.6014863531972,99.7913623694649,0.0604612394484771,-2.70072460466508e-05,9244.33244980431,9266.6,134.114278731167,4543608941,0.00184949529807605
"63",67,67,"2017-04-10",9225.6,9225.6,1,9176.8,152634901,9223.7,9250.45,1,9196.9,210169766,1.0375539611934,63.9871417006132,99.7397795487116,0.0761172718978095,-0.00647574139418516,9238.80715631974,9255.65,91.5480837412309,4333439175,0.00829307221119831
"64",68,68,"2017-04-11",9184.55,9242.55,1,9233.8,183191395,9225.6,9225.6,1,9176.8,152634901,0.968639526437598,61.3499961368391,99.7011399234054,0.0692377622829537,-0.00218791076573055,9227.07841749719,9224.6,63.5427046491631,4180804274,0.0104607022690018
"65",69,69,"2017-04-12",9242.5,9246.25,1,9201.05,168594630,9184.55,9242.55,1,9233.8,183191395,0.953180658533359,65.670835379086,99.7178139101743,0.0694356604510144,0.00619210477932874,9236.40782646731,9241.55,98.4597555341504,4363995669,0.00431369165732034
"66",70,70,"2017-04-13",9202.5,9202.5,1,9147.3,188265490,9242.5,9246.25,1,9201.05,168594630,0.901617074491345,61.4220572081899,99.7065869027323,0.0724313683434926,-0.00355305678685447,9231.74047787813,9245.25,72.2280870496789,4195401039,0.00784552670175136
"67",71,71,"2017-04-17",9144.75,9159.85,1,9139.35,140437684,9202.5,9202.5,1,9147.3,188265490,0.804178394796806,55.1190853750187,99.6531985955434,0.0800978678896075,-0.00585885420242782,9209.83289814892,9201.5,6.63913202225723,4007135549,0.0136420498662756
"68",72,72,"2017-04-18",9163,9217.8,1,9100.45,179235345,9144.75,9159.85,1,9139.35,140437684,0.711770929359923,54.2326337356926,99.6516170367066,0.0796889153267333,-0.000869486811510001,9190.47219111865,9158.85,-26.480216197552,3866697865,0.0144993960831679
"69",73,73,"2017-04-19",9112.2,9120.3,1,9114.05,179914596,9163,9217.8,1,9100.45,179235345,0.597394371228188,49.9956893633405,99.5356348663465,0.0640890517459168,-0.00426540411383947,9162.96222389612,9216.8,-12.2762318695759,3687462520,0.0186944612199118
"70",74,74,"2017-04-20",9108.1,9143.65,1,9136.1,168088011,9112.2,9120.3,1,9114.05,179914596,0.512829299190343,51.4245276823532,99.5829758540283,0.064073682663344,0.00149331604241887,9146.97580868447,9119.3,-64.1018807891395,3867377116,0.0172278060564231
"71",75,75,"2017-04-21",9179.1,9183.2,1,9119.3,164369633,9108.1,9143.65,1,9136.1,168088011,0.459966904982334,53.7328819494678,99.62066825229,0.0674393818052425,0.00241641967099682,9142.47495854496,9142.65,-35.0698156607369,4035465127,0.0148498835303251
"72",76,76,"2017-04-24",9135.35,9225.05,1,9217.7,172036102,9179.1,9183.2,1,9119.3,164369633,0.398657637987032,51.7163787826527,99.5596364760847,0.0604691449350182,-0.00184055180852738,9133.69753130958,9182.2,-29.6804694354456,3871095494,0.0166616340263998
"73",77,77,"2017-04-25",9273.05,9308.85,1,9303.75,186372847,9135.35,9225.05,1,9217.7,172036102,0.431902418137953,60.9582265587837,99.5979187626073,0.0862111799181454,0.0107325019935978,9159.87470708393,9224.05,62.9804754093113,4043131596,0.00604995254939161
"74",78,78,"2017-04-26",9336.2,9366.7,1,9344.1,208587223,9273.05,9308.85,1,9303.75,186372847,0.527792282409245,66.9210407143828,99.6444706204598,0.0941173519505375,0.00929199594387953,9207.75613195489,9307.85,159.777939865469,4229504443,0.000547924601277455
"75",79,79,"2017-04-27",9359.15,9367.05,1,9328.7,224683429,9336.2,9366.7,1,9344.1,208587223,0.631576459428485,69.2896015092299,99.6421820421434,0.091665947268077,0.00432758339141692,9256.32118060554,9365.7,196.164236326037,4438091666,0.00241306042260593
"76",80,80,"2017-04-28",9340.95,9341.5,1,9304.65,166988869,9359.15,9367.05,1,9328.7,224683429,0.691955139321077,67.3086872222378,99.704397719497,0.082719212588256,-0.00164945840919195,9286.64253778141,9366.05,162.990699727537,4213408237,0.00409457562152653
"77",81,81,"2017-05-02",9339.85,9352.55,1,9317.3,154902678,9340.95,9341.5,1,9304.65,166988869,0.710329794177178,64.2208614296453,99.6844698647779,0.0852447561271776,-0.00258139447334749,9300.38022191463,9340.5,119.0195511466,4046419368,0.00666236033333152
"78",82,82,"2017-05-03",9344.7,9344.75,1,9304,148762869,9339.85,9352.55,1,9317.3,154902678,0.727406800644115,65.1270742127237,99.6639319016066,0.076766330725652,0.00135861195479769,9313.89949073391,9351.55,115.846501191567,4201322046,0.00531173760550072
"79",83,83,"2017-05-04",9360.95,9365.5,1,9356.75,277837257,9344.7,9344.75,1,9304,148762869,0.72088807780224,63.3114402578975,99.6766418853079,0.0797057803054089,-0.00142847193929541,9318.6652990928,9343.75,92.7347410738892,4052559177,0.00673175992013701
"80",84,84,"2017-05-05",9374.55,9374.55,1,9277.6,218842893,9360.95,9365.5,1,9356.75,277837257,0.752904309078817,67.2152939129557,99.6889066096409,0.0817431600895172,0.00565359275532273,9338.80884686717,9364.5,114.079665060409,4330396434,0.00109971652937997
"81",85,85,"2017-05-08",9311.45,9338.6,1,9310.75,154994968,9374.55,9374.55,1,9277.6,218842893,0.701136069785235,57.3538873704854,99.595531892209,0.0995203631380285,-0.00849511531132841,9326.72117729903,9373.55,73.3928868964179,4111553541,0.0103429330403101
