"","Date","open","high","low","close","volume"
"379",2018-07-11,10956.4,10976.6,10924.1,10942.2,199481829
"380",2018-07-12,11006.95,11078.1,11001.55,11015.3,216424239
"381",2018-07-13,11056.9,11071.15,10999.95,11021.95,215777994
"382",2018-07-16,11018.95,11018.95,10926.55,10940.7,208411111
"383",2018-07-17,10939.65,11017.65,10926.55,11015.15,187566364
"384",2018-07-18,11060.2,11075.4,10956.85,10983.45,200275134
"385",2018-07-19,10999.5,11005.6,10935.6,10967.2,188310331
"386",2018-07-20,10963.5,11030.1,10946.55,11011.95,175148394
"387",2018-07-23,11019.85,11093.15,11018.5,11079.05,218061481
"388",2018-07-24,11109,11143.3,11093.05,11133.15,181515758
"389",2018-07-25,11148.4,11155.65,11113.5,11122.9,185174202
"390",2018-07-26,11132.95,11184.65,11125.85,11184.25,326391195
"391",2018-07-27,11232.75,11282.3,11211.1,11273.6,303327938
"392",2018-07-30,11296.65,11328.05,11261.65,11312.9,266391007
"393",2018-07-31,11311.05,11365.6,11267.85,11357.25,248359731
"394",2018-08-01,11359.8,11390.25,11314.05,11321.35,245773492
"395",2018-08-02,11328.9,11328.9,11235.05,11238.15,190681450
"396",2018-08-03,11297.8,11367.6,11296.35,11362.25,190478491
"397",2018-08-06,11401.5,11427.5,11370.9,11389.25,193466355
"398",2018-08-07,11423.15,11428,11359.8,11389.1,204951584
"399",2018-08-08,11412.5,11459.15,11379.6,11455.2,184904254
"400",2018-08-09,11493.25,11495.1,11454.45,11471.1,279420160
"401",2018-08-10,11474.95,11477.7,11420.55,11421.3,304587856
"402",2018-08-13,11369.6,11406.1,11340.75,11363.35,231157052
"403",2018-08-14,11381.7,11452.25,11372.05,11433.7,215736525
"404",2018-08-16,11397.15,11449.7,11366.6,11391.2,271069740
"405",2018-08-17,11437.15,11486.25,11432.9,11465.55,209319797
"406",2018-08-20,11502.1,11565.1,11501,11554.55,218340525
"407",2018-08-21,11576.2,11581.4,11539.75,11571.25,211704678
"408",2018-08-23,11620.7,11620.7,11546.95,11578.5,233366238
"409",2018-08-24,11566.6,11604.45,11532.3,11556.3,197905282
"410",2018-08-27,11605.85,11700.8,11603.95,11696.8,190739083
"411",2018-08-28,11731.95,11760.15,11710.8,11743.75,199546461
"412",2018-08-29,11744.95,11753.1,11679.1,11686.95,233702206
"413",2018-08-30,11694.75,11698.05,11640.6,11679.55,287409534
